timestamp,dataset_path,relative_time,semi_transductive,heterogenous_msg_passing,batch_size,num_epochs,learning_rate,emb_dim,hidden_dim,time_dim,identity_dim,train_loss,val_loss,test_loss,train_AUC,val_AUC,test_AUC,train_AP,val_AP,test_AP,run
2023-12-11 13:45:01,data/act-mooc/graph.pt,False,False,False,512,5,0.001,100,100,100,10,0.9825676083564758,0.9836511015892029,0.9828794002532959,0.5012552289949205,0.4961204907536656,0.5039110376468843,0.010443820232575762,0.008279352345254912,0.009208020807820358,0
2023-12-11 13:50:16,data/act-mooc/graph.pt,False,False,False,512,5,0.001,100,100,100,10,0.9700063467025757,0.9709551930427551,0.970491886138916,0.5119936678575323,0.4871042572745905,0.5298222801459395,0.01080008981969644,0.00809867555898807,0.010450807089425584,1
2023-12-11 13:55:31,data/act-mooc/graph.pt,False,False,False,512,5,0.001,100,100,100,10,0.9672631025314331,0.9685025811195374,0.9677168726921082,0.504448538556211,0.4874160735092232,0.5002424036929902,0.010545613505411722,0.008116312476834227,0.009607291494227715,2
2023-12-11 14:03:01,data/act-mooc/graph.pt,False,False,True,512,5,0.001,100,100,100,10,1.03032648563385,0.9078709483146667,0.8931660652160645,0.647743360332288,0.7419638222027387,0.7149593085886038,0.01586071547384884,0.021097986390639388,0.022681849698680576,0
2023-12-11 14:09:11,data/act-mooc/graph.pt,False,False,True,512,5,0.001,100,100,100,10,1.0380330085754395,0.92116379737854,0.9064956307411194,0.6480146654625967,0.7372381102535803,0.7186647735500528,0.015584163510446248,0.020134858916096586,0.02423829108834366,1
2023-12-11 14:15:19,data/act-mooc/graph.pt,False,False,True,512,5,0.001,100,100,100,10,1.0030287504196167,0.8860488533973694,0.8729677796363831,0.6675928588112989,0.742298102152543,0.7212959230886056,0.017652615899870067,0.02227074156479165,0.023905883857939805,2
2023-12-11 14:27:51,data/act-mooc/graph.pt,False,True,False,512,5,0.001,100,100,100,50,0.9538465142250061,0.9546462893486023,0.9542649388313293,0.49756015782215157,0.5107383448247574,0.49840110761449646,0.010627745201044385,0.008783787874965908,0.009989626549551985,0
2023-12-11 14:33:08,data/act-mooc/graph.pt,False,True,False,512,5,0.001,100,100,100,50,0.971346914768219,0.9724038243293762,0.9716825485229492,0.4986485656191114,0.5106720912853604,0.5026821789207117,0.01027258016481537,0.008619772083521658,0.009357936725004132,1
2023-12-11 14:38:26,data/act-mooc/graph.pt,False,True,False,512,5,0.001,100,100,100,50,0.9680761694908142,0.9690389633178711,0.9685235619544983,0.49701409620230186,0.5056970833701854,0.4973887988245723,0.010123061783265311,0.008140752384525355,0.009268643356298678,2
2023-12-11 14:44:40,data/act-mooc/graph.pt,True,False,False,512,5,0.001,100,100,100,10,0.9778056144714355,0.9761141538619995,0.9764351844787598,0.4342801317084586,0.499297307159653,0.5106342057045367,0.008733840760526296,0.006471599384308382,0.005907781532744177,0
2023-12-11 14:49:51,data/act-mooc/graph.pt,True,False,False,512,5,0.001,100,100,100,10,0.9738450646400452,0.9729333519935608,0.9732383489608765,0.44152252843596096,0.4855009674170107,0.48502922026309103,0.008962593656148626,0.006288418234803708,0.005594948113920338,1
2023-12-11 14:55:02,data/act-mooc/graph.pt,True,False,False,512,5,0.001,100,100,100,10,0.9872271418571472,0.978003978729248,0.9784532189369202,0.419573368955173,0.4895037983345516,0.491939168691528,0.007835723257009914,0.006235295813990571,0.005703880674699783,2
2023-12-11 15:43:08,data/act-mooc/graph.pt,True,True,True,512,5,0.001,100,100,100,50,1.0590405464172363,0.9331726431846619,0.9115409851074219,0.6340072847510647,0.713241240847871,0.6905677891499119,0.017195979799107506,0.02151785393073684,0.02348905071059289,0
2023-12-11 15:49:16,data/act-mooc/graph.pt,True,True,True,512,5,0.001,100,100,100,50,1.0329747200012207,0.9472664594650269,0.9349465370178223,0.6124006034278712,0.689720133741972,0.6514841675835414,0.01564799371250557,0.01569491752506664,0.015804630317219598,1
2023-12-11 15:57:52,data/act-mooc/graph.pt,True,True,True,512,5,0.001,100,100,100,50,1.0530883073806763,0.9307836890220642,0.9196467399597168,0.5365200766407496,0.6941999823573416,0.6821032059397649,0.009725710227601802,0.01738919829423903,0.019234562544665795,2
2023-12-11 16:15:37,data/act-mooc/graph.pt,False,True,True,256,5,0.0001,50,50,50,25,1.0344841480255127,0.9090256690979004,0.8941394686698914,0.669740361919118,0.741870813562711,0.7211737363253055,0.01750279714638793,0.02080105842508444,0.022071235044455927,0
2023-12-11 16:26:16,data/act-mooc/graph.pt,False,True,True,256,5,0.0001,50,50,50,25,1.0424336194992065,0.9138443470001221,0.8987834453582764,0.6669874049941071,0.7395095219418661,0.7226453911415189,0.017138034881710073,0.022568410944952797,0.025400225151041272,1
2023-12-11 16:36:05,data/act-mooc/graph.pt,False,True,True,256,5,0.0001,50,50,50,25,0.9649289846420288,0.8817405700683594,0.874768853187561,0.7381702456277958,0.7631146997300685,0.7329463532956447,0.03467397436517576,0.031517441596160746,0.030401225980258954,2
